fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
360,4593,51.9639,11.1208,117,Schwanebeck Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
323,4032,51.7953,11.132,142,Quedlinburg Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
18,198,51.3744,11.292,164,Artern Thüringen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
324,4036,51.3895,11.5412,206,Querfurt-Mühle Lodersleben Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
96,1182,51.5029,11.5705,146,Eisleben-Helfta Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
45,445,51.8218,11.711,85,Bernburg/Saale (Nord) Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
209,2701,51.1329,11.7252,136,"Kösen, Bad Sachsen-Anhalt",Frei,44,107,Lößböden in der Ackerebene (Ost) 
222,2878,51.3909,11.8786,117,"Lauchstädt, Bad Sachsen-Anhalt",Frei,44,107,Lößböden in der Ackerebene (Ost) 
151,1957,51.5138,11.9499,93,Halle-Kröllwitz Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
210,2704,51.7511,12.0094,76,Köthen (Anhalt) Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
229,2932,51.4347,12.2396,131,Leipzig/Halle Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
451,6266,52.0304,10.9626,112,Huy-Pabstorf Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
481,7420,51.1045,11.7113,246,Naumburg/Saale-Kreipitzsch Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
248,3126,52.1029,11.5827,79,Magdeburg Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
391,5158,52.1601,11.1759,159,Ummendorf Sachsen-Anhalt,Frei,44,107,Lößböden in der Ackerebene (Ost) 
75,853,50.7913,12.872,416,Chemnitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
11,131,51.0881,12.9326,296,Geringswalde-Altgeringswalde Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
87,1048,51.1278,13.7543,228,Dresden-Klotzsche Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
88,1050,51.0221,13.847,112,Dresden-Hosterwitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
27,314,51.1604,14.5042,234,"Kubschütz, Kr. Bautzen Sachsen",Frei,46,108,Lößböden in den Übergangslagen (Ost) 
163,2166,51.0167,14.75,344,Herrnhut Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
140,1684,51.1621,14.9506,239,Görlitz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
259,3234,51.1294,13.4328,158,Klipphausen-Garsebach Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
308,3811,51.296,13.0928,151,Oschatz Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
396,5282,51.1188,13.6754,241,Wahnsdorf bei Dresden Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
439,6095,51.0838,13.4486,273,Taubenheim-Seeligstadt Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
454,6314,51.0507,13.3003,306,Nossen Sachsen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
104,1270,50.9827,10.9613,317,Erfurt-Weimar Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
172,2302,50.9632,11.4847,317,Hohlstedt-Kötschau Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
184,2444,50.9251,11.583,155,Jena (Sternwarte) Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
310,3821,51.0872,11.9293,244,Osterfeld Sachsen-Anhalt,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
136,1612,50.8812,12.1289,311,Gera-Leumnitz Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
402,5419,50.9751,11.3076,264,Weimar Thüringen,Frei,46,108,Lößböden in den Übergangslagen (Ost) 
244,3093,52.9724,11.1374,16,Lüchow Niedersachsen,Frei,47,109,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen 
348,4373,52.8568,11.1319,29,Salzwedel Sachsen-Anhalt,Frei,47,109,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen 
128,1544,52.5129,11.3942,47,Gardelegen Sachsen-Anhalt,Frei,47,109,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen 
364,4642,52.8911,11.7297,22,Seehausen Sachsen-Anhalt,Frei,47,109,diluviale Böden der Altmark und Überlappung nördliches Niedersachsen 
169,2252,50.8992,14.7456,271,Bertsdorf-Hörnitz Sachsen,Frei,48,111,Verwitterungsböden in den Übergangslagen (Ost) 
