fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
89,400,52.631,13.5021,60,Berlin-Buch Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
93,407,52.6461,13.2858,48,Berlin-Frohnau Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1227,6253,52.4228,12.5667,31,Brandenburg/Havel Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1277,7389,52.7461,13.8427,83,Heckelberg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
647,3083,51.9267,13.8797,57,Lübben-Blumenfelde Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
646,3082,51.9333,13.8833,56,Lübben Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
550,2627,51.5554,13.8845,128,Schipkau-Klettwitz Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
630,3015,52.2085,14.118,98,Lindenberg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
493,2354,51.4379,14.2426,118,Hoyerswerda Kr. Bautzen Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
198,879,51.7667,14.2833,68,Cottbus (Flugplatz) Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
199,880,51.7759,14.3168,69,Cottbus Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
328,1426,52.3397,14.508,67,Frankfurt/Oder Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
725,3426,51.566,14.7008,127,"Muskau, Bad Sachsen",Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
709,3358,51.3162,14.7037,147,Mücka Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
950,4606,51.5167,14.35,116,Schwarze Pumpe Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1103,5463,52.0654,14.6898,58,Wellmitz Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1206,6170,52.0192,14.7254,39,Coschen Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
