fid,id,lat,lon,height,name,state,fid_2,id_2,lat_2,lon_2,height_2,name_2,state_2,id_3,OBJID,BEGINN,GF,NUTS_LEVEL,NUTS_CODE,NUTS_NAME
61,1550,47.483,11.0621,719,Garmisch-Partenkirchen Bayern,Frei,351,1550,47.483,11.0621,719,Garmisch-Partenkirchen Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
62,361,47.6344,13.0109,550,Berchtesgaden (KKst) Bayern,Frei,80,361,47.6344,13.0109,550,Berchtesgaden (KKst) Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
63,2559,47.7233,10.3348,705,Kempten Bayern,Frei,538,2559,47.7233,10.3348,705,Kempten Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
64,2290,47.8009,11.0108,977,Hohenpeißenberg Bayern,Frei,477,2290,47.8009,11.0108,977,Hohenpeißenberg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
65,125,47.8342,10.8667,739,Altenstadt Bayern,Frei,20,125,47.8342,10.8667,739,Altenstadt Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
66,2542,47.8652,10.6007,716,Kaufbeuren Bayern,Frei,535,2542,47.8652,10.6007,716,Kaufbeuren Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
67,856,47.8843,12.5404,551,Chieming Bayern,Frei,191,856,47.8843,12.5404,551,Chieming Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
68,154,48.0197,12.2925,516,Amerang-Pfaffing Bayern,Frei,28,154,48.0197,12.2925,516,Amerang-Pfaffing Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
69,2829,48.0772,10.9144,617,Landsberg (Flugplatz) Bayern,Frei,592,2829,48.0772,10.9144,617,Landsberg (Flugplatz) Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
70,3390,48.1369,11.7094,529,München-Riem Bayern,Frei,720,3390,48.1369,11.7094,529,München-Riem Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
71,3379,48.1632,11.5429,515,München-Stadt Bayern,Frei,715,3379,48.1632,11.5429,515,München-Stadt Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
72,2905,48.1849,10.8507,550,Lechfeld Bayern,Frei,604,2905,48.1849,10.8507,550,Lechfeld Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
73,3139,48.2166,11.2965,509,Maisach-Gernlinden Bayern,Frei,661,3139,48.2166,11.2965,509,Maisach-Gernlinden Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
74,3722,48.2443,11.5528,484,Oberschleißheim Bayern,Frei,778,3722,48.2443,11.5528,484,Oberschleißheim Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
75,3485,48.3114,10.3773,487,Neuburg/Kammel-Langenhaslach Bayern,Frei,729,3485,48.3114,10.3773,487,Neuburg/Kammel-Langenhaslach Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
76,3366,48.279,12.5024,406,Mühldorf Bayern,Frei,711,3366,48.279,12.5024,406,Mühldorf Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
77,1262,48.3477,11.8134,446,München-Flughafen Bayern,Frei,286,1262,48.3477,11.8134,446,München-Flughafen Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
78,232,48.4253,10.9417,462,Augsburg Bayern,Frei,54,232,48.4253,10.9417,462,Augsburg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
79,4706,48.2718,13.0273,358,Simbach/Inn Bayern,Frei,968,4706,48.2718,13.0273,358,Simbach/Inn Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
80,5404,48.4024,11.6946,477,Weihenstephan-Dürnast Bayern,Frei,1088,5404,48.4024,11.6946,477,Weihenstephan-Dürnast Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
81,5538,47.8827,11.1576,551,Wielenbach (Demollstr.) Bayern,Frei,1113,5538,47.8827,11.1576,551,Wielenbach (Demollstr.) Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
82,7424,47.7724,12.9073,457,Piding Bayern,Frei,1290,7424,47.7724,12.9073,457,Piding Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
83,15555,47.8761,10.5849,815,Kaufbeuren-Oberbeuren Bayern,Frei,1337,15555,47.8761,10.5849,815,Kaufbeuren-Oberbeuren Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
