id,lat,lon,height,name,state
01473,49.1869,11.308,414.0,Freystadt-Michelbach Bayern,Frei
01490,47.6454,9.4795,394.0,Friedrichshafen Baden-Württemberg,Frei
01493,50.4788,11.0159,793.0,Friedrichshöhe,Thüringen
01503,53.0643,7.902,6.0,Friesoythe-Altenoythe Niedersachsen,Frei
01504,51.119,9.2799,172.0,Fritzlar/Eder Hessen,Frei
01526,50.5668,9.6532,245.0,Fulda-Horas Hessen,Frei
01544,52.5129,11.3942,47.0,Gardelegen Sachsen-Anhalt,Frei
01550,47.483,11.0621,719.0,Garmisch-Partenkirchen Bayern,Frei
01552,53.2066,14.3817,13.0,Gartz/Oder Brandenburg,Frei
01572,50.9593,6.0392,80.0,Geilenkirchen-Neutevern Nordrhein-Westfalen,Frei
01580,49.9859,7.9548,111.0,Geisenheim Hessen,Frei
01587,48.9481,11.4289,536.0,Gelbelsee Bayern,Frei
01590,51.4942,6.2463,37.0,Geldern-Walbeck Nordrhein-Westfalen,Frei
01605,52.3875,12.1602,35.0,Genthin Sachsen-Anhalt,Frei
01612,50.8812,12.1289,311.0,Gera-Leumnitz Thüringen,Frei
01639,50.6017,8.6439,203.0,Gießen/Wettenberg Hessen,Frei
01666,54.8273,9.5058,12.0,Glücksburg-Meierwik Schleswig-Holstein,Frei
01667,53.797,9.4295,1.0,Glückstadt Schleswig-Holstein,Frei
01684,51.1621,14.9506,239.0,Görlitz Sachsen,Frei
01691,51.5002,9.9507,167.0,Göttingen Niedersachsen,Frei
01694,53.6058,12.1034,59.0,Goldberg Mecklenburg-Vorpommern,Frei
01736,53.5731,10.6797,26.0,Grambek Schleswig-Holstein,Frei
01757,54.0967,13.4056,2.0,Greifswald Mecklenburg-Vorpommern,Frei
01758,54.1,13.45,2.0,Greifswald-Wieck Mecklenburg-Vorpommern,Frei
01759,54.2437,13.9104,11.0,Greifswalder Oie Mecklenburg-Vorpommern,Frei
01766,52.1344,7.6969,48.0,Münster/Osnabrück Nordrhein-Westfalen,Frei
01803,54.0714,12.3238,35.0,Sanitz-Groß Lüsewitz Mecklenburg-Vorpommern,Frei
01863,50.2667,9.1854,258.0,Gründau-Breitenborn Hessen,Frei
01869,53.3154,13.9339,56.0,Grünow Brandenburg,Frei
01957,51.5138,11.9499,93.0,Halle-Kröllwitz Sachsen-Anhalt,Frei
01975,53.6332,9.9881,11.0,Hamburg-Fuhlsbüttel Hamburg,Frei
01981,53.4776,9.8957,4.0,Hamburg-Neuwiedenthal Hamburg,Frei
01987,53.5467,9.9662,47.0,Hamburg-Sankt Pauli Hamburg,Frei
01990,53.5853,10.1293,18.0,Hamburg-Wandsbek Hamburg,Frei
02014,52.4644,9.6779,55.0,Hannover Niedersachsen,Frei
02023,48.7918,10.7062,501.0,Harburg Bayern,Frei
02044,51.652,11.1366,404.0,Harzgerode Sachsen-Anhalt,Frei
02088,48.6849,10.142,522.0,Heidenheim/Brenz Baden-Württemberg,Frei
02095,49.1448,9.2333,167.0,Heilbronn Baden-Württemberg,Frei
02122,53.9701,9.0095,2.0,"Helse, Kr. Dithmarschen Schleswig-Holstein",Frei
02147,52.1264,8.6865,77.0,Herford Nordrhein-Westfalen,Frei
02166,51.0167,14.75,344.0,Herrnhut Sachsen,Frei
02167,49.7672,7.3356,302.0,Niederwörresbach Rheinland-Pfalz,Frei
02171,50.852,9.7377,272.0,"Hersfeld, Bad Hessen",Frei
02173,51.589,7.1548,60.0,Herten Nordrhein-Westfalen,Frei
02174,51.6255,10.3695,236.0,Herzberg Niedersachsen,Frei
02201,54.575,13.1044,1.0,Hiddensee-Vitte Mecklenburg-Vorpommern,Frei
02252,50.8992,14.7456,271.0,Bertsdorf-Hörnitz Sachsen,Frei
02261,50.3123,11.876,565.0,Hof Bayern,Frei
02290,47.8009,11.0108,977.0,Hohenpeißenberg Bayern,Frei
02302,50.9632,11.4847,317.0,Hohlstedt-Kötschau Thüringen,Frei
02303,54.3162,9.5385,10.0,Hohn Schleswig-Holstein,Frei
02306,54.3194,10.6732,8.0,Hohwacht Schleswig-Holstein,Frei
02315,51.7657,13.1666,78.0,Holzdorf-Bernsdorf Brandenburg,Frei
02331,49.3278,7.3533,235.0,Homburg/Saar Saarland,Frei
02360,48.6018,11.6769,438.0,Hüll Bayern,Frei
02385,49.6927,7.3263,376.0,Idar-Oberstein Rheinland-Pfalz,Frei
02410,48.7111,11.5363,364.0,Ingolstadt-Manching Bayern,Frei
02423,47.6894,10.0416,712.0,Isny Baden-Württemberg,Frei
02429,53.9897,9.5697,20.0,Itzehoe Schleswig-Holstein,Frei
02436,52.0547,13.2344,55.0,Jänickendorf,Brandenburg
02437,54.457,9.5203,21.0,Schleswig-Jagel Schleswig-Holstein,Frei
02444,50.9251,11.583,155.0,Jena (Sternwarte) Thüringen,Frei
02456,53.5322,7.8806,7.0,Jever Niedersachsen,Frei
02475,51.9999,13.101,75.0,Jüterbog Brandenburg,Frei
02483,51.1803,8.4891,839.0,Kahler Asten Nordrhein-Westfalen,Frei
02485,48.917,9.6871,489.0,Kaisersbach-Cronhütte Baden-Württemberg,Frei
02488,48.7701,10.7876,516.0,Kaisheim-Neuhof Bayern,Frei
02494,51.7329,6.2688,31.0,Kalkar Nordrhein-Westfalen,Frei
02497,50.5014,6.5264,505.0,Kall-Sistig Nordrhein-Westfalen,Frei
02503,50.6266,10.1455,487.0,Kaltennordheim Thüringen,Frei
02521,48.6725,11.3092,376.0,Karlshuld Bayern,Frei
02522,49.0373,8.3637,112.0,Karlsruhe Baden-Württemberg,Frei
02532,51.2963,9.4424,231.0,Kassel Hessen,Frei
02533,51.334,9.4506,198.0,Kassel-Harleshausen Hessen,Frei
02542,47.8652,10.6007,716.0,Kaufbeuren Bayern,Frei
02559,47.7233,10.3348,705.0,Kempten Bayern,Frei
02564,54.3776,10.1424,28.0,Kiel-Holtenau Schleswig-Holstein,Frei
02565,54.3378,10.0929,17.0,Kiel-Kronshagen Schleswig-Holstein,Frei
02597,50.224,10.0792,282.0,"Kissingen, Bad Bayern",Frei
02601,50.2218,8.4469,822.0,Kleiner Feldberg/Taunus Hessen,Frei
02627,51.5554,13.8845,128.0,Schipkau-Klettwitz Brandenburg,Frei
02638,48.1054,8.7548,974.0,Klippeneck Baden-Württemberg,Frei
02641,51.5185,12.9065,90.0,Klitzschen bei Torgau Sachsen,Frei
02667,50.8645,7.1575,91.0,Köln/Bonn Nordrhein-Westfalen,Frei
02691,48.6707,11.2173,378.0,Königsmoos-Untermaxfeld Bayern,Frei
02700,48.8302,11.4872,416.0,Kösching Bayern,Frei
02701,51.1329,11.7252,136.0,"Kösen, Bad Sachsen-Anhalt",Frei
02704,51.7511,12.0094,76.0,Köthen (Anhalt) Sachsen-Anhalt,Frei
02712,47.6952,9.1307,428.0,Konstanz Baden-Württemberg,Frei
02750,50.2524,11.3209,310.0,Kronach Bayern,Frei
02773,49.4283,11.9016,416.0,Kümmersbruck Bayern,Frei
02783,48.5126,12.1513,436.0,Kumhausen Bayern,Frei
02794,52.9362,12.4093,40.0,Kyritz Brandenburg,Frei
02796,53.9156,12.279,40.0,Laage-Kronskamp Mecklenburg-Vorpommern,Frei
02812,48.3647,7.828,156.0,Lahr Baden-Württemberg,Frei
02814,48.5122,9.7644,687.0,Merklingen Baden-Württemberg,Frei
02829,48.0772,10.9144,617.0,Landsberg (Flugplatz) Bayern,Frei
02831,48.5357,12.1132,393.0,Landshut Bayern,Frei
02856,51.9173,13.0878,92.0,Langenlipsdorf Brandenburg,Frei
02878,51.3909,11.8786,117.0,"Lauchstädt, Bad Sachsen-Anhalt",Frei
02886,48.2175,9.9097,539.0,Laupheim Baden-Württemberg,Frei
02905,48.1849,10.8507,550.0,Lechfeld Bayern,Frei
02907,54.7903,8.9514,7.0,Leck Schleswig-Holstein,Frei
02925,51.3932,10.3123,356.0,Leinefelde Thüringen,Frei
02928,51.3151,12.4462,138.0,Leipzig-Holzhausen Sachsen,Frei
02931,51.392,12.3962,128.0,Leipzig-Mockau Sachsen,Frei
02932,51.4347,12.2396,131.0,Leipzig/Halle Sachsen,Frei
02947,51.1333,8.0348,286.0,Lennestadt-Theten Nordrhein-Westfalen,Frei
02951,53.1007,11.4864,20.0,Lenzen/Elbe Brandenburg,Frei
02985,50.9383,14.2094,321.0,Lichtenhain-Mittelndorf Sachsen,Frei
03001,48.0674,7.677,284.0,Liliental Baden-Württemberg,Frei
03004,50.4116,8.0605,185.0,Limburg/Lahn-Offheim Hessen,Frei
03015,52.2085,14.118,98.0,Lindenberg Brandenburg,Frei
03023,52.5181,7.3081,22.0,Lingen Niedersachsen,Frei
03028,51.7854,8.8388,157.0,"Lippspringe, Bad Nordrhein-Westfalen",Frei
03031,51.6336,8.3945,92.0,Lippstadt-Bökenförde Nordrhein-Westfalen,Frei
03032,55.011,8.4125,25.0,List auf Sylt Schleswig-Holstein,Frei
03056,50.0103,9.61,161.0,Lohr/Main-Steinbach Bayern,Frei
03082,51.9333,13.8833,56.0,Lübben Brandenburg,Frei
03083,51.9267,13.8797,57.0,Lübben-Blumenfelde Brandenburg,Frei
03086,53.8025,10.6989,15.0,Lübeck-Blankensee Schleswig-Holstein,Frei
03093,52.9724,11.1374,16.0,Lüchow Niedersachsen,Frei
03096,51.2131,7.6359,444.0,Lüdenscheid (Zeppelin-Gymnasium) Nordrhein-Westfalen,Frei
03098,51.2452,7.6425,387.0,Lüdenscheid Nordrhein-Westfalen,Frei
03103,53.2657,10.424,11.0,Lüneburg Niedersachsen,Frei
03126,52.1029,11.5827,79.0,Magdeburg Sachsen-Anhalt,Frei
03139,48.2166,11.2965,509.0,Maisach-Gernlinden Bayern,Frei
03155,50.1015,6.8009,415.0,Manderscheid-Sonnenhof Rheinland-Pfalz,Frei
03158,52.5468,14.5453,12.0,Manschnow Brandenburg,Frei
03164,50.8492,8.7745,187.0,"Cölbe, Kr. Marburg-Biedenkopf Hessen",Frei
03166,50.6511,13.1469,639.0,Marienberg Sachsen,Frei
03167,50.6621,7.9603,547.0,"Marienberg, Bad Rheinland-Pfalz",Frei
03181,49.4875,10.6277,360.0,Markt Erlbach-Hagenhofen Bayern,Frei
03196,53.3221,11.9324,81.0,Marnitz Mecklenburg-Vorpommern,Frei
03204,50.7335,10.8815,429.0,Martinroda Thüringen,Frei
03231,50.5611,10.3771,450.0,Meiningen Thüringen,Frei
03234,51.1294,13.4328,158.0,Klipphausen-Garsebach Sachsen,Frei
03254,52.7155,7.3176,19.0,Meppen Niedersachsen,Frei
03268,48.1694,8.9433,900.0,Meßstetten-Appental Baden-Württemberg,Frei
03271,48.8548,12.9189,314.0,Metten Bayern,Frei
03278,48.5377,9.2734,354.0,Metzingen Baden-Württemberg,Frei
03287,49.7177,9.0997,453.0,Michelstadt-Vielbrunn Hessen,Frei
03300,50.2285,9.1064,155.0,Mittel-Gründau Hessen,Frei
03340,50.4383,7.8061,265.0,Montabaur Rheinland-Pfalz,Frei
03348,51.7209,9.8351,241.0,Moringen-Lutterbeck Niedersachsen,Frei
03362,48.9721,8.8735,243.0,Mühlacker Baden-Württemberg,Frei
03366,48.279,12.5024,406.0,Mühldorf Bayern,Frei
03376,52.5176,14.1232,64.0,Müncheberg Brandenburg,Frei
03379,48.1632,11.5429,515.0,München-Stadt Bayern,Frei
03390,48.1369,11.7094,529.0,München-Riem Bayern,Frei
03402,48.3851,9.4837,755.0,Münsingen-Apfelstetten Baden-Württemberg,Frei
03404,51.9494,7.5906,62.0,Münster Nordrhein-Westfalen,Frei
03426,51.566,14.7008,127.0,"Muskau, Bad Sachsen",Frei
03478,53.5468,13.1914,81.0,Neubrandenburg Mecklenburg-Vorpommern,Frei
03484,48.7085,11.2147,379.0,Neuburg an der Donau Bayern,Frei
03485,48.3114,10.3773,487.0,Neuburg/Kammel-Langenhaslach Bayern,Frei
03490,50.5346,7.0853,111.0,"Neuenahr, Bad-Ahrweiler Rheinland-Pfalz",Frei
03513,50.5003,11.1345,845.0,Neuhaus am Rennweg Thüringen,Frei
03518,47.976,8.9101,793.0,Neuhausen ob Eck Baden-Württemberg,Frei
03519,47.9519,8.9932,663.0,Neuhausen ob Eck-Unterschwandorf Baden-Württemberg,Frei
03538,54.0833,9.9333,20.0,Neumünster-Wasbek Schleswig-Holstein,Frei
03540,50.8446,7.372,195.0,Neunkirchen-Seelscheid-Krawinkel Nordrhein-Westfalen,Frei
03552,52.9037,12.8071,38.0,Neuruppin Brandenburg,Frei
03565,49.5728,10.6001,315.0,Neustadt/Aisch Bayern,Frei
03571,49.8174,11.8638,452.0,Neustadt am Kulm-Filchendorf Bayern,Frei
03575,49.357,8.1405,163.0,Neustadt/Weinstraße Rheinland-Pfalz,Frei
03576,49.3478,8.1822,125.0,Neustadt/Weinstraße (Heidehof) Rheinland-Pfalz,Frei
03577,53.3585,13.0502,64.0,Neustrelitz Mecklenburg-Vorpommern,Frei
03595,50.4107,7.808,250.0,Niederelbert Rheinland-Pfalz,Frei
03603,49.3895,9.9666,459.0,Niederstetten Baden-Württemberg,Frei
03612,52.6711,9.2229,25.0,Nienburg Niedersachsen,Frei
03621,48.8253,10.5067,435.0,Reimlingen Bayern,Frei
