id,lat,lon,height,name,state
01079,51.1998,6.7574,37.0,Düsseldorf-Südfriedhof Nordrhein-Westfalen,Frei
01084,51.394,6.7026,31.0,Duisburg-Friemersheim Nordrhein-Westfalen,Frei
01087,51.4634,6.7321,21.0,Duisburg-Laar Nordrhein-Westfalen,Frei
01091,51.2806,10.7362,258.0,Ebeleben Thüringen,Frei
01102,48.7201,9.5328,300.0,Ebersbach/Fils Baden-Württemberg,Frei
01103,48.1003,11.9872,592.0,Ebersberg-Halbing Bayern,Frei
01106,52.8239,13.7979,45.0,Eberswalde Brandenburg,Frei
01107,49.852,10.4991,346.0,Ebrach Bayern,Frei
01109,53.0179,10.4012,58.0,Ebstorf Niedersachsen,Frei
01126,49.96,8.64,117.0,Egelsbach,Hessen
01130,54.6282,9.3649,18.0,Eggebek Schleswig-Holstein,Frei
01146,48.6593,8.9121,487.0,Ehningen Baden-Württemberg,Frei
01154,48.3416,12.882,470.0,Eiberg Bayern,Frei
01161,48.8778,11.2349,385.0,Eichstätt-Landershofen Bayern,Frei
01163,54.2667,8.85,4.0,Eidersperrwerk,Schleswig-Holstein
01165,51.2167,10.3167,480.0,Eigenrieden Thüringen,Frei
01169,47.6288,7.5959,264.0,Eimeldingen Baden-Württemberg,Frei
01172,51.8189,9.8871,123.0,Einbeck Niedersachsen,Frei
01182,51.5029,11.5705,146.0,Eisleben-Helfta Sachsen-Anhalt,Frei
01188,50.7041,10.8576,518.0,Elgersburg Thüringen,Frei
01197,48.9895,10.1312,463.0,Ellwangen-Rindelbach Baden-Württemberg,Frei
01200,54.0691,9.0105,3.0,Elpersbüttel Schleswig-Holstein,Frei
01201,50.9281,6.5646,85.0,Elsdorf/Erftkreis Nordrhein-Westfalen,Frei
01204,53.2346,8.4612,1.0,Elsfleth Niedersachsen,Frei
01207,50.2705,12.2742,558.0,"Elster, Bad-Sohl Sachsen",Frei
01214,48.2012,8.1088,431.0,Elzach-Fisnacht Baden-Württemberg,Frei
01219,53.3449,7.1909,5.0,Emden-Nesserland Niedersachsen,Frei
01221,53.3707,7.2236,0.0,Emden-Wolthusen Niedersachsen,Frei
01224,48.1378,7.8351,201.0,Emmendingen-Mundingen Baden-Württemberg,Frei
01228,54.1651,6.346,0.0,UFS TW Ems Hamburg,Frei
01229,50.3324,7.6975,90.0,"Ems, Bad Rheinland-Pfalz",Frei
01238,50.9884,7.425,144.0,Engelskirchen Nordrhein-Westfalen,Frei
01239,47.8516,8.7673,540.0,Engen/Hegau Baden-Württemberg,Frei
01243,48.4734,9.3028,705.0,Eningen Baden-Württemberg,Frei
01246,51.8418,8.0607,104.0,Ennigerloh-Ostenfelde Nordrhein-Westfalen,Frei
01254,49.1307,8.9165,210.0,Eppingen Baden-Württemberg,Frei
01255,49.1661,8.8483,226.0,Eppingen-Elsenz Baden-Württemberg,Frei
01261,48.3167,11.95,462.0,Erding Bayern,Frei
01262,48.3477,11.8134,446.0,München-Flughafen Bayern,Frei
01266,54.2992,9.3162,18.0,Erfde Schleswig-Holstein,Frei
01270,50.9827,10.9613,317.0,Erfurt-Weimar Thüringen,Frei
01275,48.3008,13.1398,340.0,Ering Bayern,Frei
01276,47.6358,9.5392,408.0,Eriskirch-Mariabrunn Baden-Württemberg,Frei
01279,49.6497,11.0075,268.0,Möhrendorf-Kleinseebach Bayern,Frei
01280,49.5692,10.9929,280.0,Erlangen-Bruck Bayern,Frei
01281,49.5653,10.9729,284.0,Erlangen-Frauenaurach,Bayern
01287,49.8589,9.2861,198.0,Eschau-Hobbach Bayern,Frei
01292,49.7522,11.8222,470.0,Eschenbach/Oberpfalz Bayern,Frei
01297,51.2041,10.0138,156.0,Eschwege Hessen,Frei
01299,53.6476,7.6085,3.0,Esens Niedersachsen,Frei
01300,51.254,8.1565,351.0,Eslohe Nordrhein-Westfalen,Frei
01303,51.4041,6.9677,150.0,Essen-Bredeney Nordrhein-Westfalen,Frei
01327,50.7119,6.7905,147.0,Weilerswist-Lommersum Nordrhein-Westfalen,Frei
01329,54.134,10.5865,50.0,Eutin Schleswig-Holstein,Frei
01332,48.4832,12.7241,471.0,"Falkenberg,Kr.Rottal-Inn Bayern",Frei
01339,52.9157,10.1885,74.0,Faßberg Niedersachsen,Frei
01341,54.6,11.15,0.0,Fehmarnbelt Schleswig-Holstein,Frei
01345,53.3346,13.4371,92.0,Feldberg Mecklenburg-Vorpommern,Frei
01346,47.8748,8.0038,1486.0,Feldberg/Schwarzwald Baden-Württemberg,Frei
01347,47.8555,8.1155,962.0,Feldberg-Altglashütten Baden-Württemberg,Frei
01357,49.9807,11.8376,655.0,Fichtelberg/Oberfranken-Hüttstadl Bayern,Frei
01358,50.4283,12.9536,1213.0,Fichtelberg Sachsen,Frei
01359,50.0242,11.2219,705.0,Fichtelberg/Ofr Bayern,Frei
01372,47.4608,10.2696,757.0,Fischen Bayern,Frei
01374,50.505,10.1668,366.0,Fladungen-Heufurt Bayern,Frei
01378,54.8086,9.4182,45.0,Flensburg Schleswig-Holstein,Frei
01379,54.7737,9.3753,41.0,Flensburg (Schäferhaus) Schleswig-Holstein,Frei
01380,54.8147,9.458,19.0,Flensburg-Mürwik Schleswig-Holstein,Frei
01392,49.7316,12.3489,621.0,Flossenbürg Bayern,Frei
01403,50.0616,9.455,260.0,Frammersbach Bayern,Frei
01410,51.3512,11.0958,140.0,"Frankenhausen, Bad/Kyffhäuser Thüringen",Frei
01411,50.5309,10.0479,747.0,Birx/Rhön Thüringen,Frei
01415,50.0333,8.5333,100.0,Frankfurt (07W) Hessen,Frei
01416,50.0167,8.5333,97.0,Frankfurt (18W) Hessen,Frei
01420,50.0259,8.5213,100.0,Frankfurt/Main Hessen,Frei
01421,50.1474,8.6746,125.0,Frankfurt/Main (Stadt) Hessen,Frei
01422,50.0972,8.6936,114.0,Frankfurt (Henninger Turm) Hessen,Frei
01423,50.0496,8.5887,111.0,Frankfurt/Main (Terminal) Hessen,Frei
01424,50.1269,8.6694,121.0,Frankfurt/Main-Westend Hessen,Frei
01425,50.1214,8.6604,103.0,Frankfurt/Main (Feldbergstr.) Hessen,Frei
01426,52.3397,14.508,67.0,Frankfurt/Oder Brandenburg,Frei
01428,49.2275,8.0585,230.0,Frankweiler Rheinland-Pfalz,Frei
01440,48.2018,7.9339,476.0,Freiamt-Ottoschwanden Baden-Württemberg,Frei
01441,50.9263,13.2711,416.0,Freiberg Sachsen,Frei
01443,48.0232,7.8343,237.0,Freiburg Baden-Württemberg,Frei
01447,48.013,7.8588,255.0,Freiburg im Breisgau-Herdern Baden-Württemberg,Frei
