"Year","named_location","group","State","lat","lon","n_site_yr","spread_flower_site_yr","pseudoR2_gau","badfit_gau","beta0_gau","beta1_gau","beta2_gau","AIC_gau","R2_lm","beta0_lm","beta1_lm","beta1_lm_sig","AIC_lm","preferred_mod","mod_for_cens","higher_R2","AIC_delta","n_predictors","site_yr","decade","subset"
2016,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,41,16,0.3005,"FALSE",-73.45979769,0.71979584,-0.00159883,560.2768,0.2859,0.2611,0.0331,8e-04,559.1284,"linear","gauss","gaussian",1.14839999999992,2,"2016_Carrington_REC","5","all_exactloc"
2017,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,54,15,0.0023,"FALSE",-20.39371414,0.25883335,-0.00059707,784.4183,8e-04,7.2992,0.0016,0.8437,782.4992,"linear","gauss","gaussian",1.91910000000007,2,"2017_Carrington_REC","5","all_exactloc"
2018,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,51,16,0.2981,"FALSE",-276.05818351,2.62369642,-0.00607274,670.8849,0.0212,5.5348,0.008,0.3614,685.8423,"gaussian","gauss","gaussian",-14.9574,2,"2018_Carrington_REC","5","all_exactloc"
2020,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,45,16,0.0161,"FALSE",2.83086696,0.04971904,-0.00013088,626.2523,0.0159,8.8703,-0.0065,0.4034,624.2619,"linear","gauss","gaussian",1.99040000000002,2,"2020_Carrington_REC","6","all_exactloc"
2021,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,48,12,0.286,"FALSE",-48.75767715,0.48231761,-0.00103749,623.4453,0.2846,-1.77,0.0407,2e-04,621.5375,"linear","gauss","gaussian",1.90779999999995,2,"2021_Carrington_REC","6","all_exactloc"
2022,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,42,10,0.0929,"TRUE",235.17976616,-2.07581378,0.00473292,613.0956,0.0755,2.1542,0.0246,0.0759,611.8912,"linear","exclude","gaussian",1.20439999999996,2,"2022_Carrington_REC","6","all_exactloc"
2007,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,94,15,0.0463,"FALSE",-93.16671743,0.92089815,-0.00209871,1361.2077,0.0109,6.8515,0.0045,0.3254,1362.6346,"gaussian","gauss","gaussian",-1.42690000000016,2,"2007_Carrington_REC","4","all_exactloc"
2008,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,86,16,0.1742,"FALSE",-125.91112509,1.18697132,-0.00263875,1169.3025,0.1058,4.4636,0.0138,0.0029,1174.1432,"gaussian","gauss","gaussian",-4.84069999999997,2,"2008_Carrington_REC","4","all_exactloc"
1978,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,26,11,0.0454,"TRUE",88.21175355,-0.78120219,0.00187777,322.7525,0.0243,8.3657,-0.0067,0.4448,321.3188,"linear","exclude","gaussian",1.43369999999999,2,"1978_Carrington_REC","1","all_exactloc"
1982,"Carrington_REC","Carrington_REC","ND",47.5156,-99.1215,64,15,0.0316,"FALSE",-12.13834387,0.1728408,-0.0003787,870.2661,0.0305,5.5967,0.0089,0.1675,868.3378,"linear","gauss","gaussian",1.92830000000004,2,"1982_Carrington_REC","2","all_exactloc"
