"","named_location","county_state","Location","Year","State","lat","lon"
"2029","Carrington_REC","Foster_ND","Carrington","2015","ND",47.5156,-99.1215
"2077","Carrington_REC","Foster_ND","Carrington","2016","ND",47.5156,-99.1215
"2118","Carrington_REC","Foster_ND","Carrington","2017","ND",47.5156,-99.1215
"2172","Carrington_REC","Foster_ND","Carrington","2018","ND",47.5156,-99.1215
"2223","Carrington_REC","Foster_ND","Carrington","2020","ND",47.5156,-99.1215
"2268","Carrington_REC","Foster_ND","Carrington","2021","ND",47.5156,-99.1215
"2316","Carrington_REC","Foster_ND","Carrington","2022","ND",47.5156,-99.1215
"2358","Carrington_REC","Foster_ND","Carrington","2007","ND",47.5156,-99.1215
"2452","Carrington_REC","Foster_ND","Carrington","2008","ND",47.5156,-99.1215
"2538","Carrington_REC","Foster_ND","Carrington","1978","ND",47.5156,-99.1215
"2564","Carrington_REC","Foster_ND","Carrington","1982","ND",47.5156,-99.1215
"2628","Carrington_REC","Foster_ND","Carrington","1991","ND",47.5156,-99.1215
"2700","Carrington_REC","Foster_ND","Carrington","1993","ND",47.5156,-99.1215
"2798","Carrington_REC","Foster_ND","Carrington","1994","ND",47.5156,-99.1215
"2896","Carrington_REC","Foster_ND","Carrington","2023","ND",47.5156,-99.1215
"2943","Casselton_ASF","Cass_ND","Casselton","1997","ND",46.8871,-97.2305
"3024","Casselton_ASF","Cass_ND","Casselton_NuSun","1997","ND",46.8871,-97.2305
"3049","Casselton_ASF","Cass_ND","Casselton","1998","ND",46.8871,-97.2305
"3143","Casselton_ASF","Cass_ND","Casselton_NuSun","1998","ND",46.8871,-97.2305
"3179","Casselton_ASF","Cass_ND","Casselton","1999","ND",46.8871,-97.2305
"3269","Casselton_ASF","Cass_ND","Casselton_NuSun","1999","ND",46.8871,-97.2305
"3310","Casselton_ASF","Cass_ND","Casselton","2000","ND",46.8871,-97.2305
"3373","Casselton_ASF","Cass_ND","Casselton","2001","ND",46.8871,-97.2305
"3419","Casselton_ASF","Cass_ND","Casselton_NuSun","2001","ND",46.8871,-97.2305
"3463","Casselton_ASF","Cass_ND","Casselton","2002","ND",46.8871,-97.2305
"3488","Casselton_ASF","Cass_ND","Casselton_NuSun","2002","ND",46.8871,-97.2305
"3547","Casselton_ASF","Cass_ND","Casselton","2003","ND",46.8871,-97.2305
"3615","Casselton_ASF","Cass_ND","Casselton","2004","ND",46.8871,-97.2305
"3684","Casselton_ASF","Cass_ND","Casselton","2005","ND",46.8871,-97.2305
"3777","Casselton_ASF","Cass_ND","Casselton","2006","ND",46.8871,-97.2305
"3875","Casselton_ASF","Cass_ND","Casselton","2009","ND",46.8871,-97.2305
"3934","Casselton_ASF","Cass_ND","Casselton","2010","ND",46.8871,-97.2305
"3999","Casselton_ASF","Cass_ND","Casselton","2007","ND",46.8871,-97.2305
"4073","Casselton_ASF","Cass_ND","Casselton","2008","ND",46.8871,-97.2305
"4151","Casselton_ASF","Cass_ND","Casselton_Sunwheat-full","1987","ND",46.8871,-97.2305
"4155","Casselton_ASF","Cass_ND","Casselton","1990","ND",46.8871,-97.2305
"4210","Casselton_ASF","Cass_ND","Casselton","1992","ND",46.8871,-97.2305
"4272","Casselton_ASF","Cass_ND","Casselton","1993","ND",46.8871,-97.2305
"4343","Casselton_ASF","Cass_ND","Casselton","1994","ND",46.8871,-97.2305
"4427","Casselton_ASF","Cass_ND","Casselton-HO","1994","ND",46.8871,-97.2305
"4449","Casselton_ASF","Cass_ND","Casselton","1995","ND",46.8871,-97.2305
"4545","Casselton_ASF","Cass_ND","Casselton","1996","ND",46.8871,-97.2305
"4639","Casselton_ASF","Cass_ND","Casselton mid-oleic","1996","ND",46.8871,-97.2305
"4664","Casselton_ASF","Cass_ND","Casselton_NuSun","2004","ND",46.8871,-97.2305
"4734","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","1988","NE",41.1388,-103.0018
"4757","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","1989","NE",41.1388,-103.0018
"4780","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","1990","NE",41.1388,-103.0018
"4799","Cheyenne_HPAL","Cheyenne_NE","Cheyenne continuous cropping","1990","NE",41.1388,-103.0018
"4814","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WFSF","1991","NE",41.1388,-103.0018
"4831","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WSF","1991","NE",41.1388,-103.0018
"4845","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WFSF","1992","NE",41.1388,-103.0018
"4856","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WSF","1992","NE",41.1388,-103.0018
"4870","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_wheat","1993","NE",41.1388,-103.0018
"4909","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_fallow","1993","NE",41.1388,-103.0018
"4924","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 1","1994","NE",41.1388,-103.0018
"4954","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 2","1994","NE",41.1388,-103.0018
"4978","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 1","1995","NE",41.1388,-103.0018
"4995","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 2","1995","NE",41.1388,-103.0018
"5019","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WFS","1996","NE",41.1388,-103.0018
"5051","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_WSF","1996","NE",41.1388,-103.0018
"5079","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 1","1997","NE",41.1388,-103.0018
"5099","Cheyenne_HPAL","Cheyenne_NE","Cheyenne 2","1997","NE",41.1388,-103.0018
"5138","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","1998","NE",41.1388,-103.0018
"5174","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","1999","NE",41.1388,-103.0018
"5209","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2000","NE",41.1388,-103.0018
"5233","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2001","NE",41.1388,-103.0018
"5256","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_Nusun","2001","NE",41.1388,-103.0018
"5291","Cheyenne_HPAL","Cheyenne_NE","Cheyenne_Nusun","2002","NE",41.1388,-103.0018
"5328","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2002","NE",41.1388,-103.0018
"5346","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2006","NE",41.1388,-103.0018
"5372","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2007","NE",41.1388,-103.0018
"5393","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2008","NE",41.1388,-103.0018
"5421","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2009","NE",41.1388,-103.0018
"5443","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2010","NE",41.1388,-103.0018
"5462","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2015","NE",41.1388,-103.0018
"5467","Cheyenne_HPAL","Cheyenne_NE","Cheyenne","2016","NE",41.1388,-103.0018
"5488","Colby_NREC","Thomas_KS","THDO","1987","KS",39.3933,-101.0636
"5524","Colby_NREC","Thomas_KS","THDO","1988","KS",39.3933,-101.0636
"5558","Colby_NREC","Thomas_KS","THDO","1989","KS",39.3933,-101.0636
"5592","Colby_NREC","Thomas_KS","THDO","1991","KS",39.3933,-101.0636
"5637","Colby_NREC","Thomas_KS","THDO","1992","KS",39.3933,-101.0636
"5691","Colby_NREC","Thomas_KS","THDO","1993","KS",39.3933,-101.0636
"5746","Colby_NREC","Thomas_KS","THDO","1994","KS",39.3933,-101.0636
"5794","Colby_NREC","Thomas_KS","THDO","1995","KS",39.3933,-101.0636
"5844","Colby_NREC","Thomas_KS","THDO","1996","KS",39.3933,-101.0636
"5905","Colby_NREC","Thomas_KS","THDO","1998","KS",39.3933,-101.0636
"5945","Colby_NREC","Thomas_KS","THDO","2003","KS",39.3933,-101.0636
"5969","Colby_NREC","Thomas_KS","THDO","2005","KS",39.3933,-101.0636
"6002","Colby_NREC","Thomas_KS","THDO","2006","KS",39.3933,-101.0636
"6037","Colby_NREC","Thomas_KS","THDO","2007","KS",39.3933,-101.0636
"6076","Colby_NREC","Thomas_KS","THDO","2009","KS",39.3933,-101.0636
"6107","Colby_NREC","Thomas_KS","THDO","1999","KS",39.3933,-101.0636
"6148","Colby_NREC","Thomas_KS","THDO","2000","KS",39.3933,-101.0636
"6184","Colby_NREC","Thomas_KS","THDO","2001","KS",39.3933,-101.0636
"6215","Colby_NREC","Thomas_KS","THDO","2002","KS",39.3933,-101.0636
"6244","Colby_NREC","Thomas_KS","THDO","2004","KS",39.3933,-101.0636
"6264","Colby_NREC","Thomas_KS","THDO","2008","KS",39.3933,-101.0636
"6313","Colby_NREC","Thomas_KS","THDO","2010","KS",39.3933,-101.0636
"6344","Colby_NREC","Thomas_KS","THDO","2012","KS",39.3933,-101.0636
"6372","Colby_NREC","Thomas_KS","THDO","2013","KS",39.3933,-101.0636
"6405","Colby_NREC","Thomas_KS","THDO","2014","KS",39.3933,-101.0636
"6419","Colby_NREC","Thomas_KS","THDO","2015","KS",39.3933,-101.0636
"6432","Galchutt_1","Richland_ND","Galchutt","2014","ND",46.3875,-96.8095
"6467","Galchutt_1","Richland_ND","Galchutt","2015","ND",46.3875,-96.8095
"6508","Galchutt_1","Richland_ND","Galchutt","2016","ND",46.3875,-96.8095
"6541","Goodland_NorthernSun","Sherman_KS","SRDO","2003","KS",39.342,-101.821
"6563","Goodland_NorthernSun","Sherman_KS","SRDO","2005","KS",39.342,-101.821
"6578","Goodland_NorthernSun","Sherman_KS","SRDO","2001","KS",39.342,-101.821
"6606","Hays_ARC","Ellis_KS","ELDO","2004","KS",38.8584,-99.3342
"6628","Hays_ARC","Ellis_KS","ELDO","2009","KS",38.8584,-99.3342
"6661","Hays_ARC","Ellis_KS","ELDO","2010","KS",38.8584,-99.3342
"6681","Hays_ARC","Ellis_KS","ELDO","2013","KS",38.8584,-99.3342
"6704","Hays_ARC","Ellis_KS","ELDO","2017","KS",38.8584,-99.3342
"6725","Hays_ARC","Ellis_KS","ELDO","1987","KS",38.8584,-99.3342
"6763","Hays_ARC","Ellis_KS","ELDO","1988","KS",38.8584,-99.3342
"6792","Hays_ARC","Ellis_KS","ELDO","1992","KS",38.8584,-99.3342
"6831","Hays_ARC","Ellis_KS","ELDO","1993","KS",38.8584,-99.3342
"6873","Hays_ARC","Ellis_KS","ELDO","1994","KS",38.8584,-99.3342
"6912","Hays_ARC","Ellis_KS","ELDO","1995","KS",38.8584,-99.3342
"6953","Hays_ARC","Ellis_KS","ELDO","1996","KS",38.8584,-99.3342
"6993","Hays_ARC","Ellis_KS","ELDO","2005","KS",38.8584,-99.3342
"7011","Hays_ARC","Ellis_KS","ELDO","2007","KS",38.8584,-99.3342
"7036","Hesston_HVEF","Harvey_KS","HVDO","2000","KS",38.1324,-97.4417
"7044","Hesston_HVEF","Harvey_KS","HVDO","2001","KS",38.1324,-97.4417
"7056","Hesston_HVEF","Harvey_KS","HVDO","2004","KS",38.1324,-97.4417
"7063","Hesston_HVEF","Harvey_KS","HVDO","2003","KS",38.1324,-97.4417
"7070","Hesston_HVEF","Harvey_KS","HVDO","2005","KS",38.1324,-97.4417
"7079","Hesston_HVEF","Harvey_KS","HVDO","2006","KS",38.1324,-97.4417
"7089","Hettinger_REC","Adams_ND","Hettinger","2002","ND",46.0033,-102.6444
"7127","Hettinger_REC","Adams_ND","Hettinger","2003","ND",46.0033,-102.6444
"7172","Hettinger_REC","Adams_ND","Hettinger","2005","ND",46.0033,-102.6444
"7238","Hettinger_REC","Adams_ND","Hettinger","2009","ND",46.0033,-102.6444
"7279","Hettinger_REC","Adams_ND","Hettinger","2011","ND",46.0033,-102.6444
"7327","Hettinger_REC","Adams_ND","Hettinger","2013","ND",46.0033,-102.6444
"7360","Hettinger_REC","Adams_ND","Hettinger","2014","ND",46.0033,-102.6444
"7394","Hettinger_REC","Adams_ND","Hettinger","2015","ND",46.0033,-102.6444
"7440","Hettinger_REC","Adams_ND","Hettinger","2016","ND",46.0033,-102.6444
"7473","Hettinger_REC","Adams_ND","Hettinger","2017","ND",46.0033,-102.6444
"7513","Hettinger_REC","Adams_ND","Hettinger","2018","ND",46.0033,-102.6444
"7554","Hettinger_REC","Adams_ND","Hettinger","2019","ND",46.0033,-102.6444
"7601","Hettinger_REC","Adams_ND","Hettinger","2020","ND",46.0033,-102.6444
"7645","Hettinger_REC","Adams_ND","Hettinger","2021","ND",46.0033,-102.6444
"7698","Hettinger_REC","Adams_ND","Hettinger","2022","ND",46.0033,-102.6444
"7727","Hettinger_REC","Adams_ND","Hettinger","1986","ND",46.0033,-102.6444
"7757","Hutchinson_SCKEF","Reno_KS","RNDO","1996","KS",37.9302,-98.0273
"7777","Hutchinson_SCKEF","Reno_KS","RNDO","1998","KS",37.9302,-98.0273
"7801","Hutchinson_SCKEF","Reno_KS","RNDO","2003","KS",37.9302,-98.0273
"7818","Hutchinson_SCKEF","Reno_KS","RNDO","2007","KS",37.9302,-98.0273
"7830","Hutchinson_SCKEF","Reno_KS","RNDO","2009","KS",37.9302,-98.0273
"7856","Hutchinson_SCKEF","Reno_KS","RNDO","1999","KS",37.9302,-98.0273
"7884","Hutchinson_SCKEF","Reno_KS","RNDO","2000","KS",37.9302,-98.0273
"7904","Hutchinson_SCKEF","Reno_KS","RNDO","2001","KS",37.9302,-98.0273
"7920","Hutchinson_SCKEF","Reno_KS","RNDO","2002","KS",37.9302,-98.0273
"7938","Hutchinson_SCKEF","Reno_KS","RNDO","2004","KS",37.9302,-98.0273
"7949","Hutchinson_SCKEF","Reno_KS","RNDO","2010","KS",37.9302,-98.0273
"7969","Langdon_REC","Cavalier_ND","Langdon","1997","ND",48.7587,-98.3424
"8026","Langdon_REC","Cavalier_ND","Langdon","1998","ND",48.7587,-98.3424
"8094","Langdon_REC","Cavalier_ND","Langdon","1999","ND",48.7587,-98.3424
"8165","Langdon_REC","Cavalier_ND","Langdon","2000","ND",48.7587,-98.3424
"8202","Langdon_REC","Cavalier_ND","Langdon","2001","ND",48.7587,-98.3424
"8244","Langdon_REC","Cavalier_ND","Langdon","2002","ND",48.7587,-98.3424
"8280","Langdon_REC","Cavalier_ND","Langdon","2003","ND",48.7587,-98.3424
"8322","Langdon_REC","Cavalier_ND","Langdon","2005","ND",48.7587,-98.3424
"8383","Langdon_REC","Cavalier_ND","Langdon","2006","ND",48.7587,-98.3424
"8441","Langdon_REC","Cavalier_ND","Langdon","2009","ND",48.7587,-98.3424
"8483","Langdon_REC","Cavalier_ND","Langdon","2011","ND",48.7587,-98.3424
"8526","Langdon_REC","Cavalier_ND","Langdon","2012","ND",48.7587,-98.3424
"8571","Langdon_REC","Cavalier_ND","Langdon","2013","ND",48.7587,-98.3424
"8599","Langdon_REC","Cavalier_ND","Langdon","2014","ND",48.7587,-98.3424
"8633","Langdon_REC","Cavalier_ND","Langdon","2015","ND",48.7587,-98.3424
"8671","Langdon_REC","Cavalier_ND","Langdon","2016","ND",48.7587,-98.3424
"8696","Langdon_REC","Cavalier_ND","Langdon","2017","ND",48.7587,-98.3424
"8737","Langdon_REC","Cavalier_ND","Langdon","2018","ND",48.7587,-98.3424
"8769","Langdon_REC","Cavalier_ND","Langdon","2020","ND",48.7587,-98.3424
"8811","Langdon_REC","Cavalier_ND","Langdon","2022","ND",48.7587,-98.3424
"8842","Langdon_REC","Cavalier_ND","Langdon","2007","ND",48.7587,-98.3424
"8903","Langdon_REC","Cavalier_ND","Langdon","2008","ND",48.7587,-98.3424
"8964","Langdon_REC","Cavalier_ND","Langdon","1978","ND",48.7587,-98.3424
"8988","Langdon_REC","Cavalier_ND","Langdon","1979","ND",48.7587,-98.3424
"9024","Langdon_REC","Cavalier_ND","Langdon","1980","ND",48.7587,-98.3424
"9064","Langdon_REC","Cavalier_ND","Langdon","1982","ND",48.7587,-98.3424
"9100","Langdon_REC","Cavalier_ND","Langdon","1983","ND",48.7587,-98.3424
"9134","Langdon_REC","Cavalier_ND","Langdon","1984","ND",48.7587,-98.3424
"9169","Langdon_REC","Cavalier_ND","Langdon","1985","ND",48.7587,-98.3424
"9198","Langdon_REC","Cavalier_ND","Langdon","1986","ND",48.7587,-98.3424
"9229","Langdon_REC","Cavalier_ND","Langdon","1988","ND",48.7587,-98.3424
"9245","Langdon_REC","Cavalier_ND","Langdon","1989","ND",48.7587,-98.3424
"9266","Langdon_REC","Cavalier_ND","Langdon","1991","ND",48.7587,-98.3424
"9285","Langdon_REC","Cavalier_ND","Langdon","1992","ND",48.7587,-98.3424
"9312","Langdon_REC","Cavalier_ND","Langdon","1994","ND",48.7587,-98.3424
"9363","Langdon_REC","Cavalier_ND","Langdon","1996","ND",48.7587,-98.3424
"9423","Minot_REC","Ward_ND","Minot","1997","ND",48.1821,-101.2973
"9512","Minot_REC","Ward_ND","Minot","1998","ND",48.1821,-101.2973
"9610","Minot_REC","Ward_ND","Minot","2000","ND",48.1821,-101.2973
"9681","Minot_REC","Ward_ND","Minot-NuSun","2000","ND",48.1821,-101.2973
"9725","Minot_REC","Ward_ND","Minot","2001","ND",48.1821,-101.2973
"9763","Minot_REC","Ward_ND","Minot-NuSun","2001","ND",48.1821,-101.2973
"9811","Minot_REC","Ward_ND","Minot","2002","ND",48.1821,-101.2973
"9843","Minot_REC","Ward_ND","Minot-NuSun","2002","ND",48.1821,-101.2973
"9895","Minot_REC","Ward_ND","Minot","2003","ND",48.1821,-101.2973
"9960","Minot_REC","Ward_ND","Minot","2004","ND",48.1821,-101.2973
"10032","Minot_REC","Ward_ND","Minot","2005","ND",48.1821,-101.2973
"10126","Minot_REC","Ward_ND","Minot","2009","ND",48.1821,-101.2973
"10183","Minot_REC","Ward_ND","Minot","2011","ND",48.1821,-101.2973
"10243","Minot_REC","Ward_ND","Minot","2012","ND",48.1821,-101.2973
"10293","Minot_REC","Ward_ND","Minot","2013","ND",48.1821,-101.2973
"10332","Minot_REC","Ward_ND","Minot","2014","ND",48.1821,-101.2973
"10379","Minot_REC","Ward_ND","Minot","2016","ND",48.1821,-101.2973
"10401","Minot_REC","Ward_ND","Minot","2017","ND",48.1821,-101.2973
"10445","Minot_REC","Ward_ND","Minot","2018","ND",48.1821,-101.2973
"10480","Minot_REC","Ward_ND","Minot","2019","ND",48.1821,-101.2973
"10508","Minot_REC","Ward_ND","Minot","2020","ND",48.1821,-101.2973
"10546","Minot_REC","Ward_ND","Minot","2022","ND",48.1821,-101.2973
"10581","Minot_REC","Ward_ND","Minot","2007","ND",48.1821,-101.2973
"10656","Minot_REC","Ward_ND","Minot","2008","ND",48.1821,-101.2973
"10732","Minot_REC","Ward_ND","Minot","1978","ND",48.1821,-101.2973
"10758","Minot_REC","Ward_ND","Minot","1979","ND",48.1821,-101.2973
"10790","Minot_REC","Ward_ND","Minot","1981","ND",48.1821,-101.2973
"10830","Minot_REC","Ward_ND","Minot","1982","ND",48.1821,-101.2973
"10883","Minot_REC","Ward_ND","Minot","1984","ND",48.1821,-101.2973
"10935","Minot_REC","Ward_ND","Minot","1985","ND",48.1821,-101.2973
"10975","Minot_REC","Ward_ND","Minot","1986","ND",48.1821,-101.2973
"11016","Minot_REC","Ward_ND","Minot","1988","ND",48.1821,-101.2973
"11054","Minot_REC","Ward_ND","Minot","1990","ND",48.1821,-101.2973
"11091","Minot_REC","Ward_ND","Minot","1992","ND",48.1821,-101.2973
"11142","Minot_REC","Ward_ND","Minot","1995","ND",48.1821,-101.2973
"11224","Minot_REC","Ward_ND","Minot","1996","ND",48.1821,-101.2973
"11286","Minot_REC","Ward_ND","Minot","2023","ND",48.1821,-101.2973
"11319","Moorhead_USDA","Clay_MN","Fargo","2019","MN",46.9205,-96.6707
"11360","Moorhead_USDA","Clay_MN","Fargo","2020","MN",46.9205,-96.6707
"11406","Moorhead_USDA","Clay_MN","Fargo","2021","MN",46.9205,-96.6707
"11454","Moorhead_USDA","Clay_MN","Fargo","2022","MN",46.9205,-96.6707
"11495","Moorhead_USDA","Clay_MN","Fargo","2023","MN",46.9205,-96.6707
"11537","Parsons_SARC","Labette_KS","LBDO","2009","KS",37.3497,-95.2841
"11553","Parsons_SARC","Labette_KS","LBDO","2010","KS",37.3497,-95.2841
"11567","Parsons_SARC","Labette_KS","LBDO","2013","KS",37.3497,-95.2841
"11581","Parsons_SARC","Labette_KS","LBDO","2020","KS",37.3497,-95.2841
"11590","Parsons_SARC","Labette_KS","LBDO","2016","KS",37.3497,-95.2841
"11600","Tribune_SREC","Greeley_KS","GRDO","1998","KS",38.4721,-101.7724
"11637","Tribune_SREC","Greeley_KS","GRDO","1999","KS",38.4721,-101.7724
"11678","Tribune_SREC","Greeley_KS","GRDO","2001","KS",38.4721,-101.7724
"11709","Tribune_SREC","Greeley_KS","GRDO","2002","KS",38.4721,-101.7724
"11735","Tribune_SREC","Greeley_KS","GRDO","2004","KS",38.4721,-101.7724
"11757","Tribune_SREC","Greeley_KS","GRDO","1994","KS",38.4721,-101.7724
"11790","Tribune_SREC","Greeley_KS","GRDO","2003","KS",38.4721,-101.7724
"11807","Tribune_SREC","Greeley_KS","GRDO","2005","KS",38.4721,-101.7724
"11837","Tribune_SREC","Greeley_KS","GRDO","2007","KS",38.4721,-101.7724
"11875","Williston_REC","Williams_ND","Williston","1997","ND",48.139,-103.7383
"11893","Williston_REC","Williams_ND","Williston","1998","ND",48.139,-103.7383
"11919","Williston_REC","Williams_ND","Williston","1999","ND",48.139,-103.7383
"11947","Williston_REC","Williams_ND","Williston","2001","ND",48.139,-103.7383
"11969","Williston_REC","Williams_ND","Williston","2002","ND",48.139,-103.7383
"11993","Williston_REC","Williams_ND","Williston","2004","ND",48.139,-103.7383
"12035","Williston_REC","Williams_ND","Williston","2005","ND",48.139,-103.7383
"12087","Williston_REC","Williams_ND","Williston","2006","ND",48.139,-103.7383
"12109","Williston_REC","Williams_ND","Williston","2009","ND",48.139,-103.7383
"12137","Williston_REC","Williams_ND","Williston","2011","ND",48.139,-103.7383
"12162","Williston_REC","Williams_ND","Williston","2013","ND",48.139,-103.7383
"12180","Williston_REC","Williams_ND","Williston","2014","ND",48.139,-103.7383
"12197","Williston_REC","Williams_ND","Williston","2015","ND",48.139,-103.7383
"12212","Williston_REC","Williams_ND","Williston","2016","ND",48.139,-103.7383
"12221","Williston_REC","Williams_ND","Williston","2017","ND",48.139,-103.7383
"12238","Williston_REC","Williams_ND","Williston","2019","ND",48.139,-103.7383
"12255","Williston_REC","Williams_ND","Williston-clearfield","2020","ND",48.139,-103.7383
"12266","Williston_REC","Williams_ND","Williston-express","2020","ND",48.139,-103.7383
"12273","Williston_REC","Williams_ND","Williston-clearfield","2021","ND",48.139,-103.7383
"12284","Williston_REC","Williams_ND","Williston-express","2021","ND",48.139,-103.7383
"12292","Williston_REC","Williams_ND","Williston","2022","ND",48.139,-103.7383
"12310","Williston_REC","Williams_ND","Williston","1979","ND",48.139,-103.7383
"12351","Williston_REC","Williams_ND","Williston","1980","ND",48.139,-103.7383
"12398","Williston_REC","Williams_ND","Williston","1981","ND",48.139,-103.7383
"12450","Williston_REC","Williams_ND","Williston","1982","ND",48.139,-103.7383
"12517","Williston_REC","Williams_ND","Williston","1984","ND",48.139,-103.7383
"12566","Williston_REC","Williams_ND","Williston","1987","ND",48.139,-103.7383
"12591","Williston_REC","Williams_ND","Williston","1989","ND",48.139,-103.7383
"12611","Williston_REC","Williams_ND","Williston","1992","ND",48.139,-103.7383
"12627","Williston_REC","Williams_ND","Williston","1994","ND",48.139,-103.7383
"12650","Williston_REC","Williams_ND","Williston","1995","ND",48.139,-103.7383
"12673","Williston_REC","Williams_ND","Williston","1996","ND",48.139,-103.7383
"12687","Williston_REC","Williams_ND","Williston","2008","ND",48.139,-103.7383
